metric,region_1,region_2,region_1_mean,region_2_mean,difference_region_1_minus_region_2,welch_t,p_value,p_value_holm,significance_holm
ai_authority_share_mean,Asia-Pacific,"Europe, Middle East, Africa",0.35137694373540773,0.3173186524467743,0.03405829128863341,3.6489867273032495,0.00029874340333056244,0.0005974868066611249,***
ai_authority_share_mean,Asia-Pacific,"North, Central, South America",0.35137694373540773,0.37101671752463994,-0.019639773789232207,-1.6521500419621746,0.09941486179166986,0.09941486179166986,*
ai_authority_share_mean,"Europe, Middle East, Africa","North, Central, South America",0.3173186524467743,0.37101671752463994,-0.05369806507786562,-5.305087576976992,2.438375973675409e-07,7.315127921026226e-07,***
escalation_share_mean,Asia-Pacific,"Europe, Middle East, Africa",0.542492599840634,0.5560586811983718,-0.013566081357737736,-3.246752232629882,0.001270848103633527,0.002541696207267054,***
escalation_share_mean,Asia-Pacific,"North, Central, South America",0.542492599840634,0.5370144362646506,0.005478163575983408,1.0275899550307435,0.3048574907349816,0.3048574907349816,
escalation_share_mean,"Europe, Middle East, Africa","North, Central, South America",0.5560586811983718,0.5370144362646506,0.019044244933721144,4.249122001113229,3.0265780680588225e-05,9.079734204176467e-05,***
composite_kpi_score_mean,Asia-Pacific,"Europe, Middle East, Africa",0.4893075841900714,0.47050502391047533,0.018802560279596092,4.892961207442779,1.4560165723324368e-06,2.9120331446648736e-06,***
composite_kpi_score_mean,Asia-Pacific,"North, Central, South America",0.4893075841900714,0.4990459518335432,-0.009738367643471801,-2.0765961120244785,0.038550628976272025,0.038550628976272025,**
composite_kpi_score_mean,"Europe, Middle East, Africa","North, Central, South America",0.47050502391047533,0.4990459518335432,-0.028540927923067894,-7.301899472077421,3.1107719959234165e-12,9.332315987770249e-12,***
target_attainment_rate,Asia-Pacific,"Europe, Middle East, Africa",0.08776223776223775,0.06784615384615383,0.019916083916083918,2.7864689150635953,0.005599565558244558,0.011199131116489116,**
target_attainment_rate,Asia-Pacific,"North, Central, South America",0.08776223776223775,0.0945409429280397,-0.0067787051658019515,-0.7332500749116465,0.4639045022137963,0.4639045022137963,
target_attainment_rate,"Europe, Middle East, Africa","North, Central, South America",0.06784615384615383,0.0945409429280397,-0.02669478908188587,-3.435588960682464,0.000694594586446692,0.0020837837593400757,***
share_aversion,Asia-Pacific,"Europe, Middle East, Africa",0.2692307692307692,0.4008461538461538,-0.13161538461538458,-8.563154968252947,1.8939325902559064e-16,5.681797770767719e-16,***
share_aversion,Asia-Pacific,"North, Central, South America",0.2692307692307692,0.26228287841191067,0.006947890818858549,0.35203932539731336,0.7250336056202225,0.7250336056202225,
share_aversion,"Europe, Middle East, Africa","North, Central, South America",0.4008461538461538,0.26228287841191067,0.13856327543424313,7.906012343789741,7.187490218252878e-14,1.4374980436505757e-13,***
share_neutral,Asia-Pacific,"Europe, Middle East, Africa",0.5248251748251749,0.4518461538461539,0.07297902097902098,6.381796695244553,4.649551343291443e-10,9.299102686582886e-10,***
share_neutral,Asia-Pacific,"North, Central, South America",0.5248251748251749,0.5377171215880893,-0.012891946762914386,-0.9011345946166949,0.36814748281337895,0.36814748281337895,
share_neutral,"Europe, Middle East, Africa","North, Central, South America",0.4518461538461539,0.5377171215880893,-0.08587096774193537,-6.9246342734449975,3.173552352738039e-11,9.520657058214117e-11,***
share_appreciation,Asia-Pacific,"Europe, Middle East, Africa",0.20594405594405593,0.14730769230769233,0.0586363636363636,4.30322902299587,2.1514729938562726e-05,6.454418981568818e-05,***
share_appreciation,Asia-Pacific,"North, Central, South America",0.20594405594405593,0.2,0.00594405594405592,0.32218299577479564,0.7475187026802581,0.7475187026802581,
share_appreciation,"Europe, Middle East, Africa","North, Central, South America",0.14730769230769233,0.2,-0.05269230769230768,-3.3395075578574973,0.0009787532617718936,0.0019575065235437872,***
persistence_rate,Asia-Pacific,"Europe, Middle East, Africa",0.7423636363636363,0.69384,0.048523636363636324,5.488512865789965,7.160608175304318e-08,1.4321216350608636e-07,***
persistence_rate,Asia-Pacific,"North, Central, South America",0.7423636363636363,0.7685161290322579,-0.02615249266862152,-2.284306908273271,0.022977152848432474,0.022977152848432474,**
persistence_rate,"Europe, Middle East, Africa","North, Central, South America",0.69384,0.7685161290322579,-0.07467612903225784,-7.531765944233083,8.827054994238627e-13,2.6481164982715878e-12,***
upward_transition_rate,Asia-Pacific,"Europe, Middle East, Africa",0.12818181818181817,0.15144,-0.023258181818181817,-5.460995536902281,8.109775772836306e-08,1.6219551545672611e-07,***
upward_transition_rate,Asia-Pacific,"North, Central, South America",0.12818181818181817,0.11483870967741934,0.013343108504398835,2.3757512753303893,0.018092813695037076,0.018092813695037076,**
upward_transition_rate,"Europe, Middle East, Africa","North, Central, South America",0.15144,0.11483870967741934,0.03660129032258065,7.381007975387116,2.2966705553108995e-12,6.890011665932698e-12,***
downward_transition_rate,Asia-Pacific,"Europe, Middle East, Africa",0.12945454545454546,0.15472000000000002,-0.025265454545454563,-5.025121491270638,7.644606956586341e-07,1.5289213913172681e-06,***
downward_transition_rate,Asia-Pacific,"North, Central, South America",0.12945454545454546,0.1166451612903226,0.012809384164222865,1.9930332559890604,0.04704934988129714,0.04704934988129714,**
downward_transition_rate,"Europe, Middle East, Africa","North, Central, South America",0.15472000000000002,0.1166451612903226,0.03807483870967743,6.942686223784962,3.182755893596603e-11,9.548267680789809e-11,***
