driver_pair,from_state,to_state,x_variable,y_variable,held_constant_variable,held_constant_value,x_value,y_value,transition_probability
peer_target,Aversion,Aversion,team_vs_peer_average,target_attainment,team_t_minus_1_vs_team_t,-0.002674827484101872,-0.3457964980698282,0.0,0.999661348474736
peer_target,Aversion,Aversion,team_vs_peer_average,target_attainment,team_t_minus_1_vs_team_t,-0.002674827484101872,-0.33334364575916337,0.0,0.9995394268981316
peer_target,Aversion,Aversion,team_vs_peer_average,target_attainment,team_t_minus_1_vs_team_t,-0.002674827484101872,-0.3208907934484985,0.0,0.9993736383377172
peer_target,Aversion,Aversion,team_vs_peer_average,target_attainment,team_t_minus_1_vs_team_t,-0.002674827484101872,-0.3084379411378337,0.0,0.9991482228069267
peer_target,Aversion,Aversion,team_vs_peer_average,target_attainment,team_t_minus_1_vs_team_t,-0.002674827484101872,-0.2959850888271688,0.0,0.9988417779785305
peer_target,Aversion,Aversion,team_vs_peer_average,target_attainment,team_t_minus_1_vs_team_t,-0.002674827484101872,-0.28353223651650394,0.0,0.9984252558620562
peer_target,Aversion,Aversion,team_vs_peer_average,target_attainment,team_t_minus_1_vs_team_t,-0.002674827484101872,-0.2710793842058391,0.0,0.9978592623948638
peer_target,Aversion,Aversion,team_vs_peer_average,target_attainment,team_t_minus_1_vs_team_t,-0.002674827484101872,-0.25862653189517426,0.0,0.9970904294533782
peer_target,Aversion,Aversion,team_vs_peer_average,target_attainment,team_t_minus_1_vs_team_t,-0.002674827484101872,-0.24617367958450942,0.0,0.9960465629265809
peer_target,Aversion,Aversion,team_vs_peer_average,target_attainment,team_t_minus_1_vs_team_t,-0.002674827484101872,-0.23372082727384458,0.0,0.9946301949689169
peer_target,Aversion,Aversion,team_vs_peer_average,target_attainment,team_t_minus_1_vs_team_t,-0.002674827484101872,-0.22126797496317974,0.0,0.9927100910619951
peer_target,Aversion,Aversion,team_vs_peer_average,target_attainment,team_t_minus_1_vs_team_t,-0.002674827484101872,-0.20881512265251487,0.0,0.9901102018952688
peer_target,Aversion,Aversion,team_vs_peer_average,target_attainment,team_t_minus_1_vs_team_t,-0.002674827484101872,-0.19636227034185003,0.0,0.9865955457758102
peer_target,Aversion,Aversion,team_vs_peer_average,target_attainment,team_t_minus_1_vs_team_t,-0.002674827484101872,-0.18390941803118518,0.0,0.981854634674083
