manager_id,period_01_posterior_neutral,period_01_posterior_aversion,period_01_posterior_appreciation,period_02_posterior_neutral,period_02_posterior_aversion,period_02_posterior_appreciation,period_03_posterior_neutral,period_03_posterior_aversion,period_03_posterior_appreciation,period_04_posterior_neutral,period_04_posterior_aversion,period_04_posterior_appreciation,period_05_posterior_neutral,period_05_posterior_aversion,period_05_posterior_appreciation,period_06_posterior_neutral,period_06_posterior_aversion,period_06_posterior_appreciation,period_07_posterior_neutral,period_07_posterior_aversion,period_07_posterior_appreciation,period_08_posterior_neutral,period_08_posterior_aversion,period_08_posterior_appreciation,period_09_posterior_neutral,period_09_posterior_aversion,period_09_posterior_appreciation,period_10_posterior_neutral,period_10_posterior_aversion,period_10_posterior_appreciation,period_11_posterior_neutral,period_11_posterior_aversion,period_11_posterior_appreciation,period_12_posterior_neutral,period_12_posterior_aversion,period_12_posterior_appreciation,period_13_posterior_neutral,period_13_posterior_aversion,period_13_posterior_appreciation,period_14_posterior_neutral,period_14_posterior_aversion,period_14_posterior_appreciation,period_15_posterior_neutral,period_15_posterior_aversion,period_15_posterior_appreciation,period_16_posterior_neutral,period_16_posterior_aversion,period_16_posterior_appreciation,period_17_posterior_neutral,period_17_posterior_aversion,period_17_posterior_appreciation,period_18_posterior_neutral,period_18_posterior_aversion,period_18_posterior_appreciation,period_19_posterior_neutral,period_19_posterior_aversion,period_19_posterior_appreciation,period_20_posterior_neutral,period_20_posterior_aversion,period_20_posterior_appreciation,period_21_posterior_neutral,period_21_posterior_aversion,period_21_posterior_appreciation,period_22_posterior_neutral,period_22_posterior_aversion,period_22_posterior_appreciation,period_23_posterior_neutral,period_23_posterior_aversion,period_23_posterior_appreciation,period_24_posterior_neutral,period_24_posterior_aversion,period_24_posterior_appreciation,period_25_posterior_neutral,period_25_posterior_aversion,period_25_posterior_appreciation,period_26_posterior_neutral,period_26_posterior_aversion,period_26_posterior_appreciation
M0001,0.9999999980035348,8.0662777775821e-122,1.996465225826432e-09,0.999999281082988,3.930852193660193e-61,7.189170117866083e-07,0.9999957536890692,2.8332494937359687e-33,4.246310930329953e-06,0.9996892518169438,9.918693898356278e-142,0.000310748183056,0.9994665059282648,2.976546961437557e-93,0.0005334940717359,0.9999993844825829,2.8652105498526068e-33,6.155174172633198e-07,0.999999849144255,2.2012432392182467e-13,1.508555249812401e-07,0.9999999999976232,2.728641397361749e-47,2.376559615494831e-12,0.0016855671979985,0.99831427505756,1.5774444112807779e-07,0.0150175396603034,0.984982460325298,1.4398989070601411e-11,0.1123528823918474,0.8876471175851967,2.2955062907760932e-11,0.9995700389070356,1.7574257875822445e-35,0.0004299610929646,0.0059697165938065,0.9940299016801644,3.817260292204256e-07,0.3867856839685026,0.6132143104468754,5.584621979212627e-09,0.0188844181930817,0.9811155818048092,2.108421756551679e-12,0.0247660626290682,0.9752339373705502,3.809635161712632e-13,0.0200653818952032,0.9799346178784404,2.2635635124833963e-10,0.1328413803759006,0.8616611497792768,0.0054974698448219,0.9999999998953548,1.0255474484134176e-10,2.091264603795697e-12,0.061621511842648,0.9383784881568772,4.73977234804727e-13,0.0001751849236406,0.999823904148892,9.109274673047804e-07,0.0796072408806975,0.920392759062688,5.661517952450351e-11,0.9900525119412,0.0099474880587993,1.0555509500124165e-17,0.5371695326652051,0.4627839604415552,4.6506893240526126e-05,4.590199080793913e-07,0.9999994671339996,7.384609201880561e-08,0.0163313872500272,0.9836686127465912,3.380972242188046e-12
M0002,0.9999999999788916,3.083596138473397e-12,1.802477355766498e-11,0.0120382071864515,0.9879598363469068,1.956466641586698e-06,0.25341312602009,0.7465868739463771,3.3532368463404166e-11,0.0116560467265307,0.9883354383730004,8.514900468926978e-06,0.9999312112688712,6.878767059564362e-05,1.0605333350702662e-09,0.1561134716215272,0.8436064657925336,0.0002800625859386,0.0012427695106295,0.998757188618345,4.1871025464125526e-08,0.3337504196533793,0.6662495803196793,2.694171504907062e-11,0.937456138554175,0.0625436279416266,2.335041984986781e-07,0.9998824458668653,1.8262397135240825e-07,0.0001173715091636,0.7903608066233944,0.2096391926627646,7.138410542591078e-10,0.1662959160400823,0.8337040366292854,4.7330632538008e-08,0.99998369616276,1.3196387574456982e-14,1.6303837227304323e-05,0.0808495131616025,7.487414988662496e-126,0.9191504868383976,0.0997838868173474,1.0288226003471132e-64,0.9002161131826529,0.0873093979577482,4.155126718060937e-82,0.9126906020422516,1.8783068310048056e-06,3.739825470002094e-217,0.9999981216931692,2.141884910925986e-05,1.65183592071561e-204,0.9999785811508912,0.0073065839170782,2.0734319276144005e-88,0.9926934160829216,0.0041618182379825,4.121107809347648e-122,0.9958381817620172,0.0021548943185572,1.4850935502028046e-53,0.9978451056814424,0.0001526730928661,5.546150373639551e-44,0.9998473269071336,0.0003638345708837,4.596529157878912e-121,0.999636165429116,6.9299725372009e-07,3.3218741260206992e-205,0.999999307002746,9.811333180585444e-05,5.000496129002003e-73,0.9999018866681942,9.092484610892677e-06,5.707874766527839e-204,0.9999909075153888
M0003,0.9999998960064752,7.08430397409478e-35,1.0399352470304853e-07,0.999996883437932,2.7632318865406428e-25,3.116562068825276e-06,0.6793823027565031,0.3206176904989678,6.744529636011787e-09,0.0130163767097732,0.9869836211965878,2.0936395514867683e-09,0.1899042105448734,0.8100949999379219,7.895172048458015e-07,0.0367644375192728,0.9632355430416906,1.9439036055887672e-08,0.0037645023333817,0.9962337095272984,1.7881393204408728e-06,0.0016784890773656,0.9983074241894488,1.4086733184870323e-05,0.7986143218664417,0.2013856774967775,6.367800259467766e-10,1.4658751733631858e-05,0.9999847204259004,6.208223654888133e-07,0.9999698990525646,7.610445698038583e-15,3.010094742730505e-05,0.2976425244745239,0.7022961425833042,6.133294217150828e-05,0.0112384165679402,0.9887615801105964,3.3214624754502516e-09,0.0108109076904881,0.989188985913584,1.0639592760100952e-07,0.0535020233272183,0.946496704819366,1.2718534157318057e-06,0.9981555260662311,0.001844473918207,1.5561573329367215e-11,0.0057213252136476,0.9942786747863522,7.10921986674542e-19,0.9999737454722608,1.498277398454575e-17,2.625452773834131e-05,0.0013861325675137,0.9986138674311243,1.3621326865659256e-12,0.0062763767473159,0.993721995021416,1.6282312673795211e-06,0.9999816572467536,1.3603004927636872e-17,1.834275324634932e-05,0.0448392209125847,0.9551282181498706,3.2560937544347075e-05,4.722816410470356e-05,0.9999527701176328,1.718263103895972e-09,0.0314050468897367,0.9685843027263592,1.0650383904228658e-05,0.0066716625478361,0.9933283374492022,2.962520300956624e-12,0.1273669846938514,0.8726330152656802,4.046863941888126e-11
M0004,0.9999968889276843,3.0413035287681302e-06,6.976878700528816e-08,0.9999985110017368,2.143685244896572e-18,1.4889982633008102e-06,0.9965790617334228,0.0034209380586314,2.079460732194033e-10,0.9999992182827876,2.558644120689814e-11,7.81691625994852e-07,0.9071224357813094,0.0928774860239781,7.819471267558402e-08,0.6199634781946691,0.3800365043865831,1.7418747825488093e-08,0.9999890735403782,8.756542376558783e-06,2.169917245152332e-06,0.9999998768321956,1.0916147044203489e-18,1.231678043323007e-07,0.2263597974020378,0.7736353616268021,4.84097116012236e-06,0.1218515672416353,0.8781484326057478,1.5261674009877143e-10,0.9989507829892684,0.0010492169749876,3.5744060407199336e-11,0.0617359363708573,0.9382640634131868,2.1595571728639668e-10,0.0041464387898338,0.995853561210166,3.9130894231444386e-17,0.0059670207515764,0.9940329774923198,1.7561038817181415e-09,0.0513279460678608,0.9486720539315588,5.802970867622271e-13,0.0330541123858356,0.9669454405418736,4.470722905352461e-07,0.1047772763726687,0.8952227236001213,2.721008319082446e-11,0.0010481413947214,0.9989518586052786,1.4792951709238143e-16,0.0055938847926573,0.9944061152073332,9.339162398916404e-15,0.0200579725707876,0.9799420274281808,1.0314235248281028e-12,0.0121082966232271,0.9878916889124412,1.4464331578511389e-08,0.0008279490920912,0.9991720073358736,4.3572034944400694e-08,0.0432095871845976,0.9567904128153164,8.57931437576232e-14,2.2245657187277028e-05,0.9999777395050072,1.4837805151953237e-08,0.0151176793886947,0.9848776558813912,4.664729914141871e-06,0.0016935890209564,0.9983064109763008,2.742739453414017e-12
M0005,0.9999999899811662,6.78094692905304e-33,1.0018833007350256e-08,0.9999999986737363,2.74763345932318e-16,1.3262632354812811e-09,0.9999995952715894,2.2573253511032515e-15,4.047284080432365e-07,0.999999924910518,7.44428467262475e-08,6.466345310245022e-10,0.9737457768776608,0.0262541401355415,8.29867984011503e-08,0.9999999999715712,7.79186851316774e-12,2.063657796027097e-11,0.2998154790984613,0.7001836603526039,8.605489351327451e-07,0.9999506435888094,4.935629330873016e-05,1.1788237114158824e-10,0.0130510432404086,0.986948956751358,8.234818352237874e-12,0.9999994726129918,5.18386168227196e-07,9.000840520410006e-09,0.069286138250763,0.9307138592689976,2.480239695862709e-09,0.0143671565442293,0.9856328434557712,5.182717120467446e-16,0.9998212613474762,1.5294272609410726e-77,0.000178738652525,0.9986485427956078,3.2954468653919585e-76,0.0013514572043929,0.9999878659101064,3.323698314558248e-40,1.2134089894078466e-05,0.7989306727396561,3.883648909287532e-57,0.2010693272603452,0.0035002257365606,1.953083408283142e-130,0.99649977426344,0.0011115363433202,1.8858364764462966e-120,0.9988884636566784,0.0022470409718681,3.741552386386856e-84,0.9977529590281328,2.2075806713596296e-08,8.398529743663038e-197,0.999999977924194,0.0014391238114352,1.2913186166680148e-78,0.9985608761885654,0.0014452275569132,7.6162352507653e-61,0.9985547724430874,6.20414536200655e-08,1.240622602839546e-226,0.9999999379585472,2.324968942635545e-05,9.724953217041327e-218,0.999976750310575,0.999221507841989,5.013749330775112e-20,0.0007784921580117,0.0264059839481163,0.973594016051884,4.918934005987805e-16
M0006,0.9999997765072808,2.860168080114692e-40,2.234927198899503e-07,0.9999946907509742,3.5069943689394084e-22,5.309249025844327e-06,0.9999898898036726,1.967013725398265e-27,1.0110196327289473e-05,0.2295850163242144,0.7704149758329989,7.842786202115917e-09,0.0129111317222518,0.987088868259174,1.8574823645892465e-11,0.0654699418600915,0.934523492551075,6.565588833378802e-06,0.0345258608543685,0.9654741379943224,1.1513096876060943e-09,0.0617083102326981,0.9382904227745048,1.2669927977215166e-06,0.9885401544186736,0.0114598455354204,4.590573223244585e-11,0.610904456894548,0.3890955431051004,3.507732547643688e-13,0.999939789538024,3.324161246253593e-05,2.6968849512993452e-05,0.9572892702817504,0.0427107294530847,2.651656082052617e-10,0.999999840036534,5.1070707819418935e-40,1.5996346580058717e-07,0.9999947669554088,2.352169013613369e-49,5.233044591854647e-06,0.9886927498017988,7.417600524762517e-85,0.0113072501982003,0.999577168857374,5.95450952905108e-10,0.0004228305471754,0.0954114156731656,2.531657106785517e-102,0.9045885843268338,0.0031533166763032,2.4320585746037754e-145,0.996846683323696,6.590843104311381e-06,2.739442222244684e-72,0.9999934091568952,4.033973251903407e-05,5.732632979990813e-133,0.9999596602674818,3.6394292513109517e-07,4.958767257580231e-180,0.999999636057075,1.2757283022334152e-05,5.676146956242262e-178,0.999987242716978,0.001712663557672,2.195754545362204e-57,0.9982873364423271,4.783364233402911e-06,1.3764892818087942e-111,0.999995216635766,5.952841388284401e-06,1.5031363462935529e-99,0.9999940471586112,0.0001963662827926,7.95207222205289e-208,0.9998036337172076
M0007,0.9999999993603624,6.814167212620575e-167,6.396381656385784e-10,0.999999589075414,2.0877660995164247e-34,4.109245860845705e-07,0.9999999940202642,4.031478769457836e-17,5.9797368780618625e-09,0.1017589659176938,0.8982351282846568,5.905797650699582e-06,0.9998238679544972,0.0001761318276707,2.1783308627267034e-10,0.9974703814825602,0.0025296185172136,2.277579482752387e-13,0.9999996817993032,1.621057485812707e-12,3.181990767192692e-07,0.9999826089023344,7.8921336337617e-94,1.7391097663927435e-05,0.9993676274505094,2.8812386137064257e-65,0.00063237254949,0.9967408341257054,9.820809270596744e-126,0.0032591658742948,0.999911439309616,8.709377968549476e-48,8.856069038277943e-05,0.999988971643533,1.6361153751791716e-189,1.1028356468696736e-05,0.9999904764736792,2.65683912489731e-25,9.523526319838778e-06,0.0096540057320715,0.9903459942679036,2.6373222757841862e-14,0.0371587877800771,0.9628412122188832,1.0392188257993879e-12,0.0097315425339235,0.990268457466067,7.994266061522263e-15,0.9999736599043184,4.209223966367822e-37,2.6340095680313944e-05,0.988458877652137,1.1722243300715113e-17,0.0115411223478631,0.0076798358505687,1.4323594042966607e-54,0.9923201641494328,0.0001911878741862,6.516969461825457e-195,0.9998088121258152,0.0126349449918361,8.107726199607025e-33,0.987365055008163,0.9514064010967794,2.7705362735767123e-24,0.0485935989032215,0.9998567696003912,1.8540024520284988e-14,0.0001432303995901,0.999995393917892,1.2207425520675921e-16,4.606082108487114e-06,0.9915832014069984,1.7428911594821985e-11,0.0084167985755743,0.3276447002161489,2.1374227432205768e-26,0.6723552997838507
M0008,0.9999999997613678,2.6458679797971454e-30,2.3863361964830527e-10,0.99999993208043,9.324538255086469e-14,6.79194773876141e-08,0.6175551755420188,0.3824376297253442,7.194732637796823e-06,0.9999998695426144,5.894041512169398e-23,1.304573852264079e-07,0.0836539831985924,0.916346011363176,5.4382320612523355e-09,0.9999971368205456,2.8078338378305553e-48,2.8631794543769747e-06,0.9999999997409504,1.406951243901826e-63,2.5904804128104387e-10,0.9999982572749226,7.414235846542637e-98,1.7427250776696751e-06,0.999991849024466,1.0183055737173304e-74,8.150975532603987e-06,0.9999175526994356,1.7559990129913588e-36,8.244730056541752e-05,0.999606581640697,3.570439557313538e-19,0.0003934183593035,0.994049941677408,2.001316650368381e-37,0.0059500583225905,0.9923028247391148,4.798302009826263e-59,0.0076971752608851,0.940918767398143,4.3793628500709175e-73,0.059081232601858,0.0268564039727482,1.6755322844792532e-147,0.973143596027252,4.095209926611515e-05,5.233222975568397e-164,0.9999590479007334,1.2971232187826224e-06,2.1466011667902214e-209,0.9999987028767796,0.0031809818796223,1.2989926484955231e-79,0.9968190181203792,4.243060893702858e-05,2.4465785196086006e-134,0.9999575693910636,0.0166084693760143,1.5620868512280773e-116,0.9833915306239872,0.830364698667706,2.6132365291301e-59,0.169635301332293,0.0144851144538392,2.2602167808560662e-153,0.9855148855461608,0.5036454286369138,9.60025098624156e-75,0.4963545713630852,0.7107127393539803,5.4590479110879885e-78,0.2892872606460188,0.2667300205109253,0.7332699698890377,9.600037375602452e-09,0.9993573415928207,6.521752852532148e-20,0.0006426584071795
M0009,0.9999999846973644,1.8379597444545541e-22,1.5302635284135585e-08,0.9999940106064134,2.4277207387085283e-19,5.989393586464293e-06,0.4352225909747096,0.5647773993527926,9.672498675763911e-09,0.0045447068679625,0.995450127769633,5.165362403216792e-06,0.9999999651510342,9.439372543591592e-09,2.5409594279533148e-08,0.0025024649454711,0.997481613781643,1.592127288595088e-05,0.9999991790232088,8.209761216300166e-07,6.694961973464843e-13,0.999881493321222,0.0001184313471593,7.533161771359049e-08,0.2415609963214693,0.758439003631192,4.7337879949529315e-11,0.9999874740749196,1.0788378153640697e-33,1.2525925079538925e-05,0.9964471766094029,1.5444506242586405e-89,0.0035528233905955,0.9996527003805888,7.734385453597661e-57,0.0003472996194127,0.9993626827141766,8.293643099735394e-40,0.0006373172858235,0.999989101359631,9.05728833565961e-12,1.0898631310263412e-05,0.8553319740408429,2.2694381048253493e-70,0.1446680259591563,0.1647325014067176,7.37307758257386e-103,0.8352674985932808,0.1328702630963761,7.529702332787905e-132,0.8671297369036227,0.999993987259288,1.8899627817811923e-47,6.012740713757235e-06,0.9999230601378684,8.34856153896718e-34,7.693986213307714e-05,0.9999096497729536,1.6501944120129995e-09,9.034857685164662e-05,0.6182374345140178,0.3802412345666461,0.0015213309193342,0.0010707063284421,2.0076232283276178e-82,0.9989292936715564,3.1095081851387013e-07,7.32706392046804e-131,0.9999996890491816,1.4006695287045424e-05,1.7859278590875215e-90,0.9999859933047126,6.881069353911772e-05,4.450372655794032e-106,0.9999311893064626,0.99378942874368,6.54607003253111e-30,0.0062105712563209
M0010,0.9999999121588828,8.782721837458794e-08,1.389871586706918e-11,0.1665422505132847,0.8334576961858515,5.3300863314993634e-08,0.7508343696990982,0.2491653744132862,2.558876151855128e-07,0.0375627526790556,0.9624372448299632,2.4909808968196153e-09,0.0835736464167486,0.916426353224874,3.583769057082587e-10,0.0242002440070424,0.9757993697058448,3.862871127861216e-07,0.999688668110328,9.725280794342625e-44,0.000311331889672,0.9999999923386014,4.714378902987361e-09,2.9470200589969086e-09,0.9999476591069412,3.2508378189306224e-179,5.2340893059095307e-05,0.9999462924469916,1.1854805743157225e-65,5.370755300858794e-05,0.9999835100970362,6.742703481257655e-24,1.6489902963568646e-05,0.9983103165029812,3.887723955932107e-20,0.0016896834970186,0.9998623987689984,4.1008190016052615e-28,0.0001376012310016,0.9999999999747188,2.8745087657798908e-58,2.528088023898613e-11,0.9999483684578558,1.2360854279538798e-14,5.163154213225367e-05,0.0109962077954825,0.9890037921879672,1.6549931526228747e-11,0.9667819665099217,0.0332180334898485,2.296810323378344e-13,0.0193368319661015,0.98066261673278,5.51301118079285e-07,0.1782534731427347,0.821746526857081,1.8383675072329134e-13,0.6378311011954101,0.3621676775708629,1.2212337271497657e-06,0.0753562913674854,0.924637674238091,6.034394423113719e-06,2.861071145502825e-05,0.9999704714359146,9.178526300756218e-07,0.0393628436002537,0.9606370665215648,8.987818106064765e-08,0.0285071958010299,0.9714925267686532,2.7743031652366266e-07,0.9999976358244296,2.149902241593284e-06,2.1427332906701365e-07,0.0002320240600347,0.999339159103572,0.000428816836393
