covariate,from_state,to_state,low_covariate_value,low_transition_probability,mid_covariate_value,mid_transition_probability,high_covariate_value,high_transition_probability,high_minus_low_probability
target_attainment,Appreciation,Appreciation,0.0,0.6923325536708798,0.05,0.7576887666627256,1.0,0.999055904819396,0.30672335114851623
target_attainment,Appreciation,Aversion,0.0,0.0011796589299541,0.05,0.0011917362600461,1.0,0.0003435448630853,-0.0008361140668688
target_attainment,Appreciation,Neutral,0.0,0.3064877873991661,0.05,0.2411194970772283,1.0,0.0006005503175188,-0.3058872370816473
target_attainment,Aversion,Appreciation,0.0,0.0033061893537025,0.05,0.0031903004853398,1.0,0.0008861787829123,-0.0024200105707902
target_attainment,Aversion,Aversion,0.0,0.364202756709803,0.05,0.330874794317929,1.0,0.0292326797273475,-0.3349700769824555
target_attainment,Aversion,Neutral,0.0,0.6324910539364943,0.05,0.6659349051967313,1.0,0.96988114148974,0.33739008755324573
target_attainment,Neutral,Appreciation,0.0,0.025148458760949,0.05,0.0256464071536495,1.0,0.0325876434321287,0.0074391846711797
target_attainment,Neutral,Aversion,0.0,0.0783161540764638,0.05,0.0686255385213486,1.0,0.0048840267142803,-0.0734321273621835
target_attainment,Neutral,Neutral,0.0,0.8965353871625871,0.05,0.9057280543250018,1.0,0.9625283298535908,0.06599294269100375
team_t_minus_1_vs_team_t,Appreciation,Appreciation,-0.184407746077653,0.7185324349161701,-0.0008060547256775,0.7583599636582719,0.1827956366262978,0.7922580274957299,0.0737255925795598
team_t_minus_1_vs_team_t,Appreciation,Aversion,-0.184407746077653,0.0003432832979676,-0.0008060547256775,0.0012070249734635,0.1827956366262978,0.0042008973449973,0.0038576140470297
team_t_minus_1_vs_team_t,Appreciation,Neutral,-0.184407746077653,0.2811242817858622,-0.0008060547256775,0.2404330113682645,0.1827956366262978,0.2035410751592727,-0.07758320662658949
team_t_minus_1_vs_team_t,Aversion,Appreciation,-0.184407746077653,0.0013812820054291,-0.0008060547256775,0.0032168548611642,0.1827956366262978,0.0073010375469857,0.0059197555415565995
team_t_minus_1_vs_team_t,Aversion,Aversion,-0.184407746077653,0.4062503326984051,-0.0008060547256775,0.3299747620472215,0.1827956366262978,0.2611991272974253,-0.14505120540097982
team_t_minus_1_vs_team_t,Aversion,Neutral,-0.184407746077653,0.5923683852961658,-0.0008060547256775,0.6668083830916143,0.1827956366262978,0.731499835155589,0.13913144985942327
team_t_minus_1_vs_team_t,Neutral,Appreciation,-0.184407746077653,0.0061884968110053,-0.0008060547256775,0.0260157777909046,0.1827956366262978,0.0970298338035418,0.09084133699253649
team_t_minus_1_vs_team_t,Neutral,Aversion,-0.184407746077653,0.0281539940133045,-0.0008060547256775,0.0691837381741882,0.1827956366262978,0.1508290045598807,0.12267501054657622
team_t_minus_1_vs_team_t,Neutral,Neutral,-0.184407746077653,0.9656575091756902,-0.0008060547256775,0.9048004840349072,0.1827956366262978,0.7521411616365775,-0.21351634753911264
team_vs_peer_average,Appreciation,Appreciation,-0.1711597750140611,0.0278091615476178,0.0006736807701689,0.7605036421512791,0.2003720212761659,0.9946041964958856,0.9667950349482678
team_vs_peer_average,Appreciation,Aversion,-0.1711597750140611,0.6863163862034252,0.0006736807701689,0.0011510864499273,0.2003720212761659,1.9153431287177423e-08,-0.6863163670499939
team_vs_peer_average,Appreciation,Neutral,-0.1711597750140611,0.2858744522489569,0.0006736807701689,0.2383452713987935,0.2003720212761659,0.005395784350683,-0.2804786678982739
team_vs_peer_average,Aversion,Appreciation,-0.1711597750140611,3.541384190288531e-06,0.0006736807701689,0.0032535082819617,0.2003720212761659,0.2555865744563484,0.25558303307215813
team_vs_peer_average,Aversion,Aversion,-0.1711597750140611,0.971469743171954,0.0006736807701689,0.3270290495914548,0.2003720212761659,0.0026095036366897,-0.9688602395352643
team_vs_peer_average,Aversion,Neutral,-0.1711597750140611,0.0285267154438558,0.0006736807701689,0.6697174421265835,0.2003720212761659,0.7418039219069618,0.713277206463106
team_vs_peer_average,Neutral,Appreciation,-0.1711597750140611,0.0002958469136589,0.0006736807701689,0.0258094114691546,0.2003720212761659,0.1054530865020052,0.1051572395883463
team_vs_peer_average,Neutral,Aversion,-0.1711597750140611,0.9643735267680996,0.0006736807701689,0.0671076792654676,0.2003720212761659,6.877982408561855e-05,-0.964304746944014
team_vs_peer_average,Neutral,Neutral,-0.1711597750140611,0.0353306263182414,0.0006736807701689,0.9070829092653776,0.2003720212761659,0.8944781336739092,0.8591475073556678
