manager_id,baseline_ai_attitude,posterior_appreciation_share,posterior_aversion_share,scenario_region_score,macro_region,scenario_plant_id,country_scenario
M0479,0.3075303739791474,0.46153846153846156,0.038461538461538464,1.2417095019243984,Asia-Pacific,P021,China
M0175,0.1607179254953119,0.038461538461538464,0.38461538461538464,0.6531919102553345,Asia-Pacific,P021,China
M0029,0.1601190422053839,0.15384615384615385,0.11538461538461539,0.8191694217688643,Asia-Pacific,P021,China
M0035,0.6325366243845741,0.0,0.4230769230769231,1.5563685523367967,Asia-Pacific,P021,China
M0669,-0.09851468542165628,0.19230769230769232,0.23076923076923078,0.262286570045958,Asia-Pacific,P021,China
M0656,0.7643429881362823,0.11538461538461539,0.23076923076923078,1.9465749194346371,Asia-Pacific,P021,China
M0055,0.433067608628168,0.15384615384615385,0.3076923076923077,1.2648351755813214,Asia-Pacific,P021,China
M0456,1.0,0.23076923076923078,0.15384615384615385,2.485605512636333,Asia-Pacific,P021,China
M0242,0.4756014702189514,0.46153846153846156,0.0,1.5932092022925954,Asia-Pacific,P021,China
M0829,0.2133012531790028,0.46153846153846156,0.07692307692307693,1.0363387958799177,Asia-Pacific,P021,China
M0527,0.2576355233090888,0.19230769230769232,0.2692307692307692,0.9481904824915875,Asia-Pacific,P021,China
M0370,0.08689932620649854,0.038461538461538464,0.4230769230769231,0.4882124446173436,Asia-Pacific,P021,China
M0539,-0.2482620843993118,0.5384615384615384,0.0,0.18398216723946192,Asia-Pacific,P021,China
M0432,0.05930338460259749,0.0,0.46153846153846156,0.4030764267071775,Asia-Pacific,P021,China
M0854,0.1789560624930194,0.3076923076923077,0.11538461538461539,0.9029608574552395,Asia-Pacific,P021,China
M0228,-0.0286194855436982,0.038461538461538464,0.4230769230769231,0.25960740410998184,Asia-Pacific,P021,China
M0724,0.6022580464797388,0.07692307692307693,0.46153846153846156,1.500809299825905,Asia-Pacific,P021,China
M0261,-0.02042446024659976,0.34615384615384615,0.038461538461538464,0.5578203245653036,Asia-Pacific,P021,China
M0283,0.003754659971488383,0.46153846153846156,0.0,0.6594516823213341,Asia-Pacific,P021,China
M0784,0.2267912618557236,0.46153846153846156,0.3076923076923077,0.9496543538682477,Asia-Pacific,P021,China
M0296,0.9220922159370589,0.0,0.34615384615384615,2.167175766963493,Asia-Pacific,P021,China
M0477,0.2207233280706815,0.4230769230769231,0.038461538461538464,1.058294867977965,Asia-Pacific,P021,China
M0168,0.1624369586684703,0.11538461538461539,0.5769230769230769,0.5853671521165863,Asia-Pacific,P021,China
M0582,0.5828752587255465,0.038461538461538464,0.4230769230769231,1.4697201006117395,Asia-Pacific,P021,China
M0294,0.8927451004757767,0.34615384615384615,0.23076923076923078,2.270446360587143,Asia-Pacific,P021,China
M0791,0.3097628642412555,0.07692307692307693,0.2692307692307692,1.0164619249629083,Asia-Pacific,P021,China
M0872,0.5583209112915191,0.0,0.6153846153846154,1.3150162960173037,Asia-Pacific,P021,China
M0753,-0.08760977364814324,0.5769230769230769,0.07692307692307693,0.47573884232091546,Asia-Pacific,P021,China
M0038,0.7341144562564281,0.3076923076923077,0.19230769230769232,1.9637937151646059,Asia-Pacific,P021,China
M0178,0.2379548632979192,0.0,0.7307692307692307,0.6243402404974884,Asia-Pacific,P021,China
M0431,0.6509949580226473,0.38461538461538464,0.0,1.9170457287214397,Asia-Pacific,P021,China
M0043,0.3902413085514311,0.38461538461538464,0.2692307692307692,1.268752233171761,Asia-Pacific,P021,China
M0385,0.3034326736300198,0.19230769230769232,0.038461538461538464,1.1522007797374074,Asia-Pacific,P022,China
M0639,-0.1593144113318921,0.3076923076923077,0.15384615384615385,0.2146464425164955,Asia-Pacific,P022,China
M0334,0.1809890370373869,0.15384615384615385,0.19230769230769232,0.8226764705489373,Asia-Pacific,P022,China
M0134,0.470313336340648,0.0,0.2692307692307692,1.3109249826473606,Asia-Pacific,P022,China
M0219,0.006834561192088459,0.46153846153846156,0.15384615384615385,0.5899597030726704,Asia-Pacific,P022,China
M0257,-0.2275611203796939,0.46153846153846156,0.038461538461538464,0.18279441363931376,Asia-Pacific,P022,China
M0772,0.7811500757456633,0.3076923076923077,0.0,2.1513581398300516,Asia-Pacific,P022,China
M0338,1.0,0.0,0.5,2.245763835709474,Asia-Pacific,P022,China
M0577,0.05307499601376262,0.0,0.2692307692307692,0.4852344630988026,Asia-Pacific,P022,China
M0634,-0.01774115087840573,0.0,0.34615384615384615,0.30729994556374945,Asia-Pacific,P022,China
M0448,0.1081385885115405,0.0,0.6538461538461539,0.4052348111181271,Asia-Pacific,P022,China
M0233,0.7980378153794061,0.15384615384615385,0.23076923076923078,2.0248835475672107,Asia-Pacific,P022,China
M0850,-0.1221033167970667,0.38461538461538464,0.19230769230769232,0.2926453444580622,Asia-Pacific,P022,China
M0006,0.2088968865057714,0.38461538461538464,0.19230769230769232,0.9476755835815305,Asia-Pacific,P022,China
M0596,-0.001066359483598345,0.0,0.46153846153846156,0.28360819825891903,Asia-Pacific,P022,China
M0594,-0.1561576462157847,0.07692307692307693,0.11538461538461539,0.17001913462831225,Asia-Pacific,P022,China
M0561,0.3223858920942834,0.07692307692307693,0.23076923076923078,1.0603388976389676,Asia-Pacific,P022,China
M0315,0.2604385313847866,0.0,0.5769230769230769,0.7444210434061774,Asia-Pacific,P022,China
M0193,0.2092622845442811,0.23076923076923078,0.11538461538461539,0.9396780847680151,Asia-Pacific,P022,China
M0368,0.7624110817410112,0.038461538461538464,0.5,1.787217637429815,Asia-Pacific,P022,China
M0783,0.090953362516494,0.38461538461538464,0.11538461538461539,0.7520656406583006,Asia-Pacific,P022,China
M0682,-0.02423770281295393,0.5,0.19230769230769232,0.5212012759438369,Asia-Pacific,P022,China
M0498,0.703310319977748,0.2692307692307692,0.11538461538461539,1.9289990598213755,Asia-Pacific,P022,China
M0794,-0.09632557835099241,0.15384615384615385,0.5,0.12271305088067704,Asia-Pacific,P022,China
M0024,0.1939046169518179,0.038461538461538464,0.4230769230769231,0.699969719945222,Asia-Pacific,P022,China
M0546,0.2553020748048709,0.46153846153846156,0.15384615384615385,1.0816625275186365,Asia-Pacific,P022,China
M0458,0.2828921374379733,0.0,0.038461538461538464,1.0534096689250463,Asia-Pacific,P022,China
M0473,0.02551492022007509,0.3076923076923077,0.23076923076923078,0.5426195262613348,Asia-Pacific,P022,China
M0862,0.224205768183935,0.11538461538461539,0.38461538461538464,0.8020877068678588,Asia-Pacific,P022,China
M0047,0.4177004738214073,0.0,0.5769230769230769,1.0556333228289598,Asia-Pacific,P022,China
M0508,1.0,0.07692307692307693,0.07692307692307693,2.476884912259278,Asia-Pacific,P022,China
M0483,0.4122167747732404,0.2692307692307692,0.07692307692307693,1.371838518047268,Asia-Pacific,P022,China
M0011,0.9372020623454591,0.038461538461538464,0.2692307692307692,2.2464992567260267,Asia-Pacific,P023,India
M0530,0.06197764087987759,0.11538461538461539,0.5,0.42435744101871364,Asia-Pacific,P023,India
