manager_id,macro_region,n_periods,ai_authority_share_mean,escalation_share_mean,composite_kpi_score_mean,target_attainment_rate,share_aversion,share_neutral,share_appreciation,n_transitions,persistence_rate,upward_transition_rate,downward_transition_rate
M0001,"Europe, Middle East, Africa",26,0.37187679065015583,0.4870214121153609,0.4819145644917935,0.11538461538461539,0.5384615384615384,0.46153846153846156,0.0,25,0.72,0.12,0.16
M0002,"Europe, Middle East, Africa",26,0.3492911437807139,0.6253401331785138,0.47386058077253507,0.038461538461538464,0.2692307692307692,0.23076923076923078,0.5,25,0.72,0.16,0.12
M0003,"Europe, Middle East, Africa",26,0.2183991577927513,0.5817106825338713,0.4027134526836085,0.0,0.6923076923076923,0.3076923076923077,0.0,25,0.56,0.2,0.24
M0004,"Europe, Middle East, Africa",26,0.35111645112777035,0.563405566168286,0.4609935467471894,0.11538461538461539,0.6538461538461539,0.34615384615384615,0.0,25,0.88,0.04,0.08
M0005,"Europe, Middle East, Africa",26,0.20849733748341107,0.5803857429531353,0.4258181505663513,0.038461538461538464,0.19230769230769232,0.5,0.3076923076923077,25,0.64,0.16,0.2
M0006,Asia-Pacific,26,0.37800924104425315,0.5083332356308372,0.4766746652319544,0.07692307692307693,0.19230769230769232,0.4230769230769231,0.38461538461538464,25,0.88,0.08,0.04
M0007,Asia-Pacific,26,0.48886582052076943,0.4992122939422676,0.5470782459939433,0.23076923076923078,0.15384615384615385,0.6923076923076923,0.15384615384615385,25,0.72,0.16,0.12
M0008,"North, Central, South America",26,0.3664202714947545,0.5053239744509956,0.5105924333697552,0.11538461538461539,0.07692307692307693,0.6538461538461539,0.2692307692307692,25,0.68,0.16,0.16
M0009,Asia-Pacific,26,0.2637383567252749,0.609704525055625,0.4612647419452465,0.0,0.15384615384615385,0.6153846153846154,0.23076923076923078,25,0.6,0.2,0.2
M0010,"Europe, Middle East, Africa",26,0.17907560008798212,0.5613451850128144,0.39900605007382156,0.0,0.46153846153846156,0.5384615384615384,0.0,25,0.56,0.2,0.24
M0011,Asia-Pacific,26,0.3816818361553495,0.534206916473907,0.4969358026517652,0.07692307692307693,0.2692307692307692,0.6923076923076923,0.038461538461538464,25,0.76,0.12,0.12
M0012,Asia-Pacific,26,0.1833279646893972,0.6100472363504259,0.42528098024181465,0.0,0.46153846153846156,0.5384615384615384,0.0,25,0.76,0.12,0.12
M0013,"North, Central, South America",26,0.43314780230139527,0.5194717538164467,0.5232604728891243,0.15384615384615385,0.15384615384615385,0.5769230769230769,0.2692307692307692,25,0.64,0.2,0.16
M0014,"Europe, Middle East, Africa",26,0.16917083668856636,0.5813428897918557,0.43191594014418233,0.0,0.5384615384615384,0.46153846153846156,0.0,25,0.68,0.16,0.16
M0015,"North, Central, South America",26,0.3344837152904353,0.5382134222028055,0.47652501206094844,0.038461538461538464,0.46153846153846156,0.5384615384615384,0.0,25,0.88,0.04,0.08
M0016,"Europe, Middle East, Africa",26,0.4271692735884802,0.5116100794284167,0.5437922366886901,0.11538461538461539,0.5769230769230769,0.15384615384615385,0.2692307692307692,25,0.72,0.16,0.12
M0017,"North, Central, South America",26,0.28979606037334443,0.5957012374422426,0.4739571180067196,0.038461538461538464,0.3076923076923077,0.5769230769230769,0.11538461538461539,25,0.8,0.12,0.08
M0018,"Europe, Middle East, Africa",26,0.23679658837656556,0.5561494986014291,0.43007151863557286,0.11538461538461539,0.46153846153846156,0.5384615384615384,0.0,25,0.8,0.08,0.12
M0019,"Europe, Middle East, Africa",26,0.22654088916990517,0.614352808614474,0.43059052976320983,0.0,0.6538461538461539,0.3076923076923077,0.038461538461538464,25,0.8,0.08,0.12
M0020,"Europe, Middle East, Africa",26,0.5836333193298735,0.49847059024655416,0.5740890591801936,0.07692307692307693,0.7307692307692307,0.2692307692307692,0.0,25,0.64,0.16,0.2
M0021,Asia-Pacific,26,0.5581141496221784,0.37992953526615975,0.5749137961953292,0.2692307692307692,0.07692307692307693,0.5769230769230769,0.34615384615384615,25,0.8,0.08,0.12
M0022,Asia-Pacific,26,0.13002477604123922,0.5774806795157121,0.38866499296479495,0.0,0.0,0.4230769230769231,0.5769230769230769,25,0.96,0.04,0.0
M0023,"North, Central, South America",26,0.2316346094725094,0.5808849643646787,0.4557042530217883,0.0,0.07692307692307693,0.6153846153846154,0.3076923076923077,25,0.8,0.12,0.08
M0024,Asia-Pacific,26,0.25421495767883395,0.5582142290554316,0.45824504588512444,0.0,0.4230769230769231,0.5384615384615384,0.038461538461538464,25,0.52,0.24,0.24
M0025,Asia-Pacific,26,0.4022264205203737,0.43390315866528817,0.47969563570240836,0.15384615384615385,0.15384615384615385,0.46153846153846156,0.38461538461538464,25,0.72,0.16,0.12
M0026,"Europe, Middle East, Africa",26,0.16197735912941613,0.5084483842000135,0.406128357678261,0.038461538461538464,0.34615384615384615,0.5769230769230769,0.07692307692307693,25,0.52,0.24,0.24
M0027,"Europe, Middle East, Africa",26,0.39178169252111783,0.5542318343951567,0.4971002912685745,0.038461538461538464,0.38461538461538464,0.46153846153846156,0.15384615384615385,25,0.56,0.24,0.2
M0028,"Europe, Middle East, Africa",26,0.34651901912717736,0.5056279721125073,0.4844256625263323,0.038461538461538464,0.34615384615384615,0.6538461538461539,0.0,25,0.64,0.16,0.2
M0029,Asia-Pacific,26,0.3025803952009113,0.605855718375911,0.5023412994011633,0.038461538461538464,0.11538461538461539,0.7307692307692307,0.15384615384615385,25,0.72,0.16,0.12
M0030,"Europe, Middle East, Africa",26,0.2602005058469152,0.597415284939427,0.43381331742901375,0.0,0.19230769230769232,0.6153846153846154,0.19230769230769232,25,0.84,0.08,0.08
M0031,Asia-Pacific,26,0.10960371849099179,0.6253534550154242,0.38988904885755127,0.0,0.5,0.19230769230769232,0.3076923076923077,25,0.68,0.16,0.16
M0032,Asia-Pacific,26,0.32757033193311275,0.5970125836390108,0.46417068067585154,0.07692307692307693,0.19230769230769232,0.5,0.3076923076923077,25,0.68,0.16,0.16
M0033,"Europe, Middle East, Africa",26,0.26104705813166734,0.5410713855088439,0.4501414149230844,0.038461538461538464,0.34615384615384615,0.3076923076923077,0.34615384615384615,25,0.72,0.16,0.12
M0034,"North, Central, South America",26,0.3532929476313556,0.5239566251949004,0.5034930846160387,0.0,0.19230769230769232,0.8076923076923077,0.0,25,0.96,0.0,0.04
M0035,Asia-Pacific,26,0.24284098710676863,0.5434166270367664,0.44951840754538214,0.038461538461538464,0.4230769230769231,0.5769230769230769,0.0,25,0.8,0.08,0.12
M0036,"Europe, Middle East, Africa",26,0.5705703494202167,0.4938288691565769,0.5878938132116662,0.38461538461538464,0.46153846153846156,0.5384615384615384,0.0,25,0.64,0.16,0.2
M0037,"Europe, Middle East, Africa",26,0.4803880161816739,0.4950679925032034,0.5189985204543344,0.15384615384615385,0.19230769230769232,0.2692307692307692,0.5384615384615384,25,0.64,0.2,0.16
M0038,Asia-Pacific,26,0.3701438351219432,0.5723391183497696,0.4780773523644347,0.038461538461538464,0.19230769230769232,0.5,0.3076923076923077,25,0.8,0.08,0.12
M0039,Asia-Pacific,26,0.4248806941750647,0.5158094348663105,0.5376774549729227,0.038461538461538464,0.2692307692307692,0.6923076923076923,0.038461538461538464,25,0.64,0.16,0.2
