driver,driver_label,driver_level,driver_min,driver_mean,driver_max,n_transitions_in_level,from_state,to_state,n_managers_with_origin_state,origin_count,transition_count,pooled_transition_rate,pooled_transition_rate_pct,mean_manager_transition_rate,mean_manager_transition_rate_pct,median_manager_transition_rate
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),Low,-0.4943737381963131,-0.131363189078999,-0.04968297165073288,7292,Aversion,Aversion,760,2523,1718,0.6809353943717796,68.09353943717797,0.6387254594820384,63.87254594820384,0.6666666666666666
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),Low,-0.4943737381963131,-0.131363189078999,-0.04968297165073288,7292,Aversion,Neutral,760,2523,771,0.3055885850178359,30.55885850178359,0.34793807435254803,34.793807435254806,0.3333333333333333
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),Low,-0.4943737381963131,-0.131363189078999,-0.04968297165073288,7292,Aversion,Appreciation,760,2523,34,0.013476020610384463,1.3476020610384463,0.013336466165413534,1.3336466165413534,0.0
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),Low,-0.4943737381963131,-0.131363189078999,-0.04968297165073288,7292,Neutral,Aversion,868,3572,836,0.23404255319148937,23.404255319148938,0.2599636922217567,25.99636922217567,0.2
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),Low,-0.4943737381963131,-0.131363189078999,-0.04968297165073288,7292,Neutral,Neutral,868,3572,2529,0.708006718924972,70.8006718924972,0.677820170101276,67.7820170101276,0.7142857142857143
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),Low,-0.4943737381963131,-0.131363189078999,-0.04968297165073288,7292,Neutral,Appreciation,868,3572,207,0.05795072788353863,5.795072788353863,0.06221613767696716,6.2216137676967165,0.0
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),Low,-0.4943737381963131,-0.131363189078999,-0.04968297165073288,7292,Appreciation,Aversion,503,1197,5,0.004177109440267335,0.4177109440267335,0.0046388336646785945,0.46388336646785944,0.0
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),Low,-0.4943737381963131,-0.131363189078999,-0.04968297165073288,7292,Appreciation,Neutral,503,1197,156,0.13032581453634084,13.032581453634085,0.17886490580327558,17.886490580327557,0.0
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),Low,-0.4943737381963131,-0.131363189078999,-0.04968297165073288,7292,Appreciation,Appreciation,503,1197,1036,0.8654970760233918,86.54970760233918,0.8164962605320457,81.64962605320457,1.0
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),Medium,-0.04965557316804187,0.00184756945102973,0.05383479448520129,7291,Aversion,Aversion,730,2450,1676,0.6840816326530612,68.40816326530613,0.6359295499021526,63.592954990215254,0.6666666666666666
