driver_pair,from_state,to_state,x_variable,y_variable,low_low_probability,high_low_probability,low_high_probability,high_high_probability,interaction_contrast,interaction_contrast_pct_points
peer_target,Aversion,Aversion,team_vs_peer_average,target_attainment,0.9537529900739743,0.012179692101352387,0.5191588474449144,0.0007126535151412702,0.4231271040428488,42.31271040428488
peer_target,Aversion,Neutral,team_vs_peer_average,target_attainment,0.04623602877284778,0.8740571496303251,0.4808211916365712,0.9770587528055701,-0.33158355968847847,-33.15835596884785
peer_target,Aversion,Appreciation,team_vs_peer_average,target_attainment,1.098115317795598e-05,0.11376315826832259,1.9960918514443173e-05,0.022228593679288595,-0.0915435443543705,-9.15435443543705
peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.9265802507628312,0.00045330899288079736,0.42249257113229793,2.5936037512046356e-05,0.5036603066751646,50.36603066751646
peer_target,Neutral,Neutral,team_vs_peer_average,target_attainment,0.07269265944636016,0.9238196714073645,0.570618701659173,0.9099465913236209,-0.5117991222965566,-51.179912229655656
peer_target,Neutral,Appreciation,team_vs_peer_average,target_attainment,0.0007270897908086131,0.07572701959975467,0.006888727208528999,0.09002747263886698,0.00813881562139193,0.8138815621391929
peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.3921964131412909,3.384897247488002e-07,0.5474723090184564,6.972791768988777e-08,-0.1552761646389726,-15.527616463897258
peer_target,Appreciation,Neutral,team_vs_peer_average,target_attainment,0.5431168499447758,0.020332647287134166,0.005101067195947983,2.8181516575631626e-05,0.5177113169782693,51.77113169782693
peer_target,Appreciation,Appreciation,team_vs_peer_average,target_attainment,0.06468673691393342,0.9796670142231411,0.4474266237855956,0.9999717487555067,-0.3624351523392966,-36.24351523392966
change_peer,Aversion,Aversion,team_t_minus_1_vs_team_t,team_vs_peer_average,0.9589979972481693,0.9302983920422895,0.01462356660035697,0.007304223031392735,0.021380261636915532,2.138026163691553
change_peer,Aversion,Neutral,team_t_minus_1_vs_team_t,team_vs_peer_average,0.04099715765941107,0.06967289267491449,0.9254399903012935,0.8097939065646561,-0.14432181875214087,-14.432181875214086
change_peer,Aversion,Appreciation,team_t_minus_1_vs_team_t,team_vs_peer_average,4.8450924197015315e-06,2.8715282796050512e-05,0.05993644309834961,0.18290187040395106,0.1229415571152251,12.29415571152251
change_peer,Neutral,Aversion,team_t_minus_1_vs_team_t,team_vs_peer_average,0.8306166781769778,0.9612992629718045,0.0001849403999531524,0.0007572327170504178,-0.13011029247772943,-13.011029247772942
change_peer,Neutral,Neutral,team_t_minus_1_vs_team_t,team_vs_peer_average,0.1688996566400237,0.03729254054556897,0.976889101557511,0.7630940786827695,-0.08218790678028676,-8.218790678028675
change_peer,Neutral,Appreciation,team_t_minus_1_vs_team_t,team_vs_peer_average,0.0004836651829985591,0.0014081964826265297,0.022925958042535857,0.23614868860018,0.21229819925801618,21.229819925801618
change_peer,Appreciation,Aversion,team_t_minus_1_vs_team_t,team_vs_peer_average,0.1991973488888893,0.7282823447760569,1.1406338841086282e-07,9.066441393655729e-07,-0.5290842033064167,-52.90842033064167
change_peer,Appreciation,Neutral,team_t_minus_1_vs_team_t,team_vs_peer_average,0.7030192101786621,0.22650120202543872,0.017461786944507507,0.012231123908557308,0.47128734511727316,47.128734511727316
change_peer,Appreciation,Appreciation,team_t_minus_1_vs_team_t,team_vs_peer_average,0.0977834409324487,0.045216453198504224,0.982538098992104,0.9877679694473034,0.0577968581891439,5.77968581891439
change_target,Aversion,Aversion,team_t_minus_1_vs_team_t,target_attainment,0.43024784365992885,0.2997371185989094,0.038109689111656644,0.02208860585708232,0.11448964180644516,11.448964180644516
change_target,Aversion,Neutral,team_t_minus_1_vs_team_t,target_attainment,0.5681390406602617,0.693397039475159,0.9614131658180398,0.9762217711803866,-0.11044939345255056,-11.044939345255056
change_target,Aversion,Appreciation,team_t_minus_1_vs_team_t,target_attainment,0.0016131156798093484,0.00686584192593174,0.0004771450703034561,0.001689622962531036,-0.004040248353894812,-0.40402483538948114
change_target,Neutral,Aversion,team_t_minus_1_vs_team_t,target_attainment,0.03714313245496041,0.15573248379114102,0.002232122712830873,0.010398933046439044,-0.11042254100257244,-11.042254100257244
change_target,Neutral,Neutral,team_t_minus_1_vs_team_t,target_attainment,0.9552574828352665,0.7641108619445536,0.9882786057731133,0.878385890278791,0.08125390539639055,8.125390539639055
change_target,Neutral,Appreciation,team_t_minus_1_vs_team_t,target_attainment,0.007599384709773089,0.08015665426430549,0.00948927151405581,0.11121517667476996,0.02916863560618175,2.9168635606181748
change_target,Appreciation,Aversion,team_t_minus_1_vs_team_t,target_attainment,0.0004058303525999381,0.0035730354425692963,0.00012510603859884484,0.0009885133517198667,-0.0023037977768483363,-0.23037977768483364
change_target,Appreciation,Neutral,team_t_minus_1_vs_team_t,target_attainment,0.3454815648655441,0.2680431838747908,0.0007165852309208272,0.0004989525091961336,0.07722074826902858,7.722074826902858
change_target,Appreciation,Appreciation,team_t_minus_1_vs_team_t,target_attainment,0.6541126047818558,0.7283837806826399,0.9991583087304803,0.9985125341390839,-0.07491695049218039,-7.491695049218039
