manager_id,period_id,most_likely_state,state_label,state_order,gamma_state_1,gamma_state_2,gamma_state_3
M0001,1,1,Neutral,1,0.9999999980035348,8.0662777775821e-122,1.996465225826432e-09
M0001,2,1,Neutral,1,0.9999992810829879,3.930852193660193e-61,7.189170117866083e-07
M0001,3,1,Neutral,1,0.9999957536890692,2.8332494937359683e-33,4.246310930329953e-06
M0001,4,1,Neutral,1,0.9996892518169438,9.918693898356278e-142,0.0003107481830560124
M0001,5,1,Neutral,1,0.9994665059282647,2.9765469614375572e-93,0.0005334940717359801
M0001,6,1,Neutral,1,0.9999993844825827,2.8652105498526068e-33,6.155174172633198e-07
M0001,7,1,Neutral,1,0.999999849144255,2.2012432392182465e-13,1.508555249812401e-07
M0001,8,1,Neutral,1,0.9999999999976232,2.7286413973617493e-47,2.376559615494831e-12
M0001,9,2,Aversion,0,0.0016855671979985447,0.9983142750575599,1.5774444112807776e-07
M0001,10,2,Aversion,0,0.015017539660303404,0.9849824603252979,1.4398989070601411e-11
M0001,11,2,Aversion,0,0.11235288239184744,0.8876471175851967,2.2955062907760935e-11
M0001,12,1,Neutral,1,0.9995700389070356,1.7574257875822445e-35,0.0004299610929646831
M0001,13,2,Aversion,0,0.005969716593806503,0.9940299016801645,3.8172602922042557e-07
M0001,14,2,Aversion,0,0.3867856839685026,0.6132143104468754,5.584621979212627e-09
M0001,15,2,Aversion,0,0.01888441819308176,0.9811155818048093,2.108421756551679e-12
M0001,16,2,Aversion,0,0.024766062629068258,0.9752339373705502,3.809635161712632e-13
M0001,17,2,Aversion,0,0.020065381895203217,0.9799346178784405,2.2635635124833965e-10
M0001,18,2,Aversion,0,0.13284138037590065,0.8616611497792768,0.005497469844821928
M0001,19,1,Neutral,1,0.9999999998953548,1.0255474484134175e-10,2.0912646037956975e-12
M0001,20,2,Aversion,0,0.06162151184264809,0.9383784881568773,4.73977234804727e-13
M0001,21,2,Aversion,0,0.00017518492364063595,0.9998239041488921,9.109274673047804e-07
M0001,22,2,Aversion,0,0.07960724088069757,0.920392759062688,5.6615179524503507e-11
M0001,23,1,Neutral,1,0.9900525119412001,0.009947488058799346,1.0555509500124165e-17
M0001,24,1,Neutral,1,0.5371695326652051,0.4627839604415552,4.6506893240526126e-05
M0001,25,2,Aversion,0,4.590199080793913e-07,0.9999994671339997,7.384609201880561e-08
M0001,26,2,Aversion,0,0.01633138725002721,0.9836686127465912,3.380972242188046e-12
M0002,1,1,Neutral,1,0.9999999999788916,3.083596138473397e-12,1.802477355766498e-11
M0002,2,2,Aversion,0,0.01203820718645153,0.9879598363469068,1.956466641586698e-06
M0002,3,2,Aversion,0,0.25341312602009003,0.7465868739463771,3.353236846340417e-11
M0002,4,2,Aversion,0,0.011656046726530757,0.9883354383730003,8.514900468926978e-06
M0002,5,1,Neutral,1,0.9999312112688711,6.878767059564362e-05,1.0605333350702664e-09
M0002,6,2,Aversion,0,0.15611347162152725,0.8436064657925336,0.000280062585938691
M0002,7,2,Aversion,0,0.001242769510629528,0.998757188618345,4.187102546412552e-08
M0002,8,2,Aversion,0,0.33375041965337937,0.6662495803196793,2.694171504907062e-11
M0002,9,1,Neutral,1,0.937456138554175,0.06254362794162668,2.335041984986781e-07
M0002,10,1,Neutral,1,0.9998824458668653,1.8262397135240823e-07,0.00011737150916363164
M0002,11,1,Neutral,1,0.7903608066233944,0.2096391926627646,7.138410542591079e-10
M0002,12,2,Aversion,0,0.16629591604008231,0.8337040366292854,4.7330632538007995e-08
M0002,13,1,Neutral,1,0.99998369616276,1.3196387574456982e-14,1.6303837227304323e-05
M0002,14,3,Appreciation,2,0.08084951316160253,7.487414988662496e-126,0.9191504868383977
M0002,15,3,Appreciation,2,0.09978388681734744,1.0288226003471132e-64,0.9002161131826529
M0002,16,3,Appreciation,2,0.08730939795774825,4.1551267180609365e-82,0.9126906020422516
M0002,17,3,Appreciation,2,1.8783068310048058e-06,3.739825470002095e-217,0.9999981216931692
M0002,18,3,Appreciation,2,2.141884910925986e-05,1.65183592071561e-204,0.9999785811508911
M0002,19,3,Appreciation,2,0.007306583917078233,2.0734319276144005e-88,0.9926934160829216
M0002,20,3,Appreciation,2,0.004161818237982527,4.121107809347648e-122,0.9958381817620172
M0002,21,3,Appreciation,2,0.0021548943185572306,1.4850935502028046e-53,0.9978451056814425
M0002,22,3,Appreciation,2,0.00015267309286618271,5.546150373639551e-44,0.9998473269071337
M0002,23,3,Appreciation,2,0.00036383457088374165,4.596529157878912e-121,0.9996361654291159
M0002,24,3,Appreciation,2,6.9299725372009e-07,3.321874126020699e-205,0.9999993070027461
M0002,25,3,Appreciation,2,9.811333180585444e-05,5.000496129002003e-73,0.9999018866681942
M0002,26,3,Appreciation,2,9.092484610892675e-06,5.7078747665278385e-204,0.9999909075153888
M0003,1,1,Neutral,1,0.9999998960064752,7.084303974094781e-35,1.0399352470304853e-07
M0003,2,1,Neutral,1,0.9999968834379319,2.763231886540643e-25,3.116562068825276e-06
