candidate,controls,section,variable,estimate,standard_error,z_stat,p_value,significance,state_idx,emission,control,from_state,to_state
k1__decision_latency,decision_latency,Emission baseline mean,ai_authority_share,0.5097635847557108,0.1937366011163818,2.631219820200544,0.0085078986426057,***,0.0,ai_authority_share,,,
k1__decision_latency,decision_latency,Emission baseline mean,escalation_share,0.2966261822551659,0.1687386147579059,1.757903386138045,0.078763949589794,*,0.0,escalation_share,,,
k1__decision_latency,decision_latency,Emission baseline mean,ai_authority_share,0.7048134999754442,0.1957512737353107,3.60055639243744,0.0003175369466232,***,1.0,ai_authority_share,,,
k1__decision_latency,decision_latency,Emission baseline mean,escalation_share,0.4408994968140461,0.1547784981966906,2.8485836337147843,0.0043914309604013,***,1.0,escalation_share,,,
k1__decision_latency,decision_latency,Emission baseline mean,ai_authority_share,0.2229881999561668,0.171482374834656,1.3003563787308925,0.1934788532209852,,2.0,ai_authority_share,,,
k1__decision_latency,decision_latency,Emission baseline mean,escalation_share,0.2732633947676448,0.1826752269729242,1.4958973873788997,0.1346803972555916,,2.0,escalation_share,,,
k1__decision_latency,decision_latency,Emission control effect,ai_authority_share|decision_latency,-0.1287272625281334,0.2408655074445782,-0.5344362665034256,0.5930397331962087,,0.0,ai_authority_share,decision_latency,,
k1__decision_latency,decision_latency,Emission control effect,escalation_share|decision_latency,0.0657734889948111,0.1612706030131143,0.4078454954959308,0.6833871100637614,,0.0,escalation_share,decision_latency,,
k1__decision_latency,decision_latency,Emission control effect,ai_authority_share|decision_latency,-0.1089761478116494,0.1910848334224099,-0.5703024455674515,0.5684725824859436,,1.0,ai_authority_share,decision_latency,,
k1__decision_latency,decision_latency,Emission control effect,escalation_share|decision_latency,0.0886638528116167,0.168461629899192,0.5263148223406924,0.5986694861115691,,1.0,escalation_share,decision_latency,,
k1__decision_latency,decision_latency,Emission control effect,ai_authority_share|decision_latency,-0.0686480382976294,0.112563502017166,-0.609860541538238,0.5419541928748746,,2.0,ai_authority_share,decision_latency,,
k1__decision_latency,decision_latency,Emission control effect,escalation_share|decision_latency,0.0874781950516117,0.1878495505292075,0.4656822164608282,0.6414429834678907,,2.0,escalation_share,decision_latency,,
k1__decision_latency,decision_latency,Transition beta,team_t_minus_1_vs_team_t,-0.3192549702434142,1.0100836365431145,-0.316067856851958,0.7519510035762043,,,,,0.0,0.0
k1__decision_latency,decision_latency,Transition beta,team_vs_peer_average,0.6795508015386913,1.249155190638809,0.544008307879803,0.5864357558555326,,,,,0.0,0.0
k1__decision_latency,decision_latency,Transition beta,target_attainment,0.065367698794622,1.55704223022236,0.0419819690987359,0.9665130720182812,,,,,0.0,0.0
k1__decision_latency,decision_latency,Transition beta,team_t_minus_1_vs_team_t,0.1236659690241088,1.01543437782723,0.1217862736622354,0.903068285055729,,,,,0.0,1.0
k1__decision_latency,decision_latency,Transition beta,team_vs_peer_average,1.5692263183147035,1.3799649276072568,1.1371494209172477,0.2554758269045476,,,,,0.0,1.0
k1__decision_latency,decision_latency,Transition beta,target_attainment,0.2672137937157625,1.1571367521189695,0.2309267190990484,0.8173717328369767,,,,,0.0,1.0
k1__decision_latency,decision_latency,Transition beta,team_t_minus_1_vs_team_t,0.2051610388707077,1.005797607311904,0.2039784519064639,0.8383703377850309,,,,,0.0,2.0
k1__decision_latency,decision_latency,Transition beta,team_vs_peer_average,-2.257404096107696,1.210255877392644,-1.8652287820084887,0.06214934282104,*,,,,0.0,2.0
k1__decision_latency,decision_latency,Transition beta,target_attainment,-0.3259169970103618,1.5116505913383678,-0.2156033933223981,0.8292969105222623,,,,,0.0,2.0
k1__decision_latency,decision_latency,Transition beta,team_t_minus_1_vs_team_t,-0.1829736141788087,1.2281143033504585,-0.1489874465916018,0.8815635385750127,,,,,1.0,0.0
k1__decision_latency,decision_latency,Transition beta,team_vs_peer_average,0.2902846611242899,1.4654230884796744,0.1980893186454774,0.8429751817332569,,,,,1.0,0.0
k1__decision_latency,decision_latency,Transition beta,target_attainment,-0.4605064638172563,1.0128570538428991,-0.4546608646008244,0.649353239932043,,,,,1.0,0.0
k1__decision_latency,decision_latency,Transition beta,team_t_minus_1_vs_team_t,-0.2168700860535325,1.0717062630512717,-0.2023596329801025,0.839635583745356,,,,,1.0,1.0
k1__decision_latency,decision_latency,Transition beta,team_vs_peer_average,2.288002809298627,1.2814491044764855,1.7854808289349513,0.074183358230992,*,,,,1.0,1.0
k1__decision_latency,decision_latency,Transition beta,target_attainment,-0.2090134300341401,1.055774187671128,-0.1979717182659967,0.8430671913283423,,,,,1.0,1.0
k1__decision_latency,decision_latency,Transition beta,team_t_minus_1_vs_team_t,0.4220490407562559,1.366219391815194,0.3089174720287864,0.7573843056675527,,,,,1.0,2.0
k1__decision_latency,decision_latency,Transition beta,team_vs_peer_average,-2.622470980821077,1.4167029557727548,-1.851108568761773,0.0641539356151983,*,,,,1.0,2.0
k1__decision_latency,decision_latency,Transition beta,target_attainment,0.6924254042617846,1.097176535209058,0.6310975326589978,0.5279767543220286,,,,,1.0,2.0
k1__decision_latency,decision_latency,Transition beta,team_t_minus_1_vs_team_t,-0.5216663062259083,1.7104366242806222,-0.304990140424122,0.7603736616087953,,,,,2.0,0.0
k1__decision_latency,decision_latency,Transition beta,team_vs_peer_average,0.9758286800741596,1.2876327290352163,0.7578470615649215,0.4485425450740599,,,,,2.0,0.0
k1__decision_latency,decision_latency,Transition beta,target_attainment,0.2075115839015366,1.926199800213112,0.1077310795477072,0.9142090150671104,,,,,2.0,0.0
k1__decision_latency,decision_latency,Transition beta,team_t_minus_1_vs_team_t,0.6567387888654578,2.262968075786651,0.2902112477380675,0.7716546318779693,,,,,2.0,1.0
k1__decision_latency,decision_latency,Transition beta,team_vs_peer_average,0.8561873079464976,2.162955948965564,0.3958413061329196,0.6922221025540645,,,,,2.0,1.0
k1__decision_latency,decision_latency,Transition beta,target_attainment,0.304557786104651,1.4262984852068856,0.2135301896927098,0.8309134440850554,,,,,2.0,1.0
k1__decision_latency,decision_latency,Transition beta,team_t_minus_1_vs_team_t,-0.1211940318656846,1.3793974712702692,-0.0878601232711255,0.9299878510089684,,,,,2.0,2.0
