driver_pair,from_state,to_state,x_variable,x_level,x_value,y_variable,y_level,y_value,transition_probability,transition_probability_pct
peer_target,Aversion,Aversion,team_vs_peer_average,low,-0.14486590835412808,target_attainment,low,0.0,0.9537529900739743,95.37529900739743
peer_target,Aversion,Neutral,team_vs_peer_average,low,-0.14486590835412808,target_attainment,low,0.0,0.04623602877284778,4.623602877284778
peer_target,Aversion,Appreciation,team_vs_peer_average,low,-0.14486590835412808,target_attainment,low,0.0,1.098115317795598e-05,0.001098115317795598
peer_target,Aversion,Aversion,team_vs_peer_average,low,-0.14486590835412808,target_attainment,high,1.0,0.5191588474449144,51.915884744491436
peer_target,Aversion,Neutral,team_vs_peer_average,low,-0.14486590835412808,target_attainment,high,1.0,0.4808211916365712,48.082119163657126
peer_target,Aversion,Appreciation,team_vs_peer_average,low,-0.14486590835412808,target_attainment,high,1.0,1.9960918514443173e-05,0.001996091851444317
peer_target,Aversion,Aversion,team_vs_peer_average,high,0.15064741625824876,target_attainment,low,0.0,0.012179692101352387,1.2179692101352386
peer_target,Aversion,Neutral,team_vs_peer_average,high,0.15064741625824876,target_attainment,low,0.0,0.8740571496303251,87.40571496303251
peer_target,Aversion,Appreciation,team_vs_peer_average,high,0.15064741625824876,target_attainment,low,0.0,0.11376315826832259,11.37631582683226
peer_target,Aversion,Aversion,team_vs_peer_average,high,0.15064741625824876,target_attainment,high,1.0,0.0007126535151412702,0.07126535151412702
peer_target,Aversion,Neutral,team_vs_peer_average,high,0.15064741625824876,target_attainment,high,1.0,0.9770587528055701,97.70587528055701
peer_target,Aversion,Appreciation,team_vs_peer_average,high,0.15064741625824876,target_attainment,high,1.0,0.022228593679288595,2.2228593679288595
peer_target,Neutral,Aversion,team_vs_peer_average,low,-0.14486590835412808,target_attainment,low,0.0,0.9265802507628312,92.65802507628312
peer_target,Neutral,Neutral,team_vs_peer_average,low,-0.14486590835412808,target_attainment,low,0.0,0.07269265944636016,7.269265944636016
peer_target,Neutral,Appreciation,team_vs_peer_average,low,-0.14486590835412808,target_attainment,low,0.0,0.0007270897908086131,0.07270897908086131
peer_target,Neutral,Aversion,team_vs_peer_average,low,-0.14486590835412808,target_attainment,high,1.0,0.42249257113229793,42.249257113229795
peer_target,Neutral,Neutral,team_vs_peer_average,low,-0.14486590835412808,target_attainment,high,1.0,0.570618701659173,57.061870165917306
peer_target,Neutral,Appreciation,team_vs_peer_average,low,-0.14486590835412808,target_attainment,high,1.0,0.006888727208528999,0.6888727208528999
peer_target,Neutral,Aversion,team_vs_peer_average,high,0.15064741625824876,target_attainment,low,0.0,0.00045330899288079736,0.045330899288079735
peer_target,Neutral,Neutral,team_vs_peer_average,high,0.15064741625824876,target_attainment,low,0.0,0.9238196714073645,92.38196714073645
peer_target,Neutral,Appreciation,team_vs_peer_average,high,0.15064741625824876,target_attainment,low,0.0,0.07572701959975467,7.572701959975467
peer_target,Neutral,Aversion,team_vs_peer_average,high,0.15064741625824876,target_attainment,high,1.0,2.5936037512046356e-05,0.0025936037512046357
peer_target,Neutral,Neutral,team_vs_peer_average,high,0.15064741625824876,target_attainment,high,1.0,0.9099465913236209,90.99465913236209
peer_target,Neutral,Appreciation,team_vs_peer_average,high,0.15064741625824876,target_attainment,high,1.0,0.09002747263886698,9.002747263886699
peer_target,Appreciation,Aversion,team_vs_peer_average,low,-0.14486590835412808,target_attainment,low,0.0,0.3921964131412909,39.21964131412909
peer_target,Appreciation,Neutral,team_vs_peer_average,low,-0.14486590835412808,target_attainment,low,0.0,0.5431168499447758,54.31168499447758
peer_target,Appreciation,Appreciation,team_vs_peer_average,low,-0.14486590835412808,target_attainment,low,0.0,0.06468673691393342,6.4686736913933425
peer_target,Appreciation,Aversion,team_vs_peer_average,low,-0.14486590835412808,target_attainment,high,1.0,0.5474723090184564,54.74723090184565
peer_target,Appreciation,Neutral,team_vs_peer_average,low,-0.14486590835412808,target_attainment,high,1.0,0.005101067195947983,0.5101067195947983
peer_target,Appreciation,Appreciation,team_vs_peer_average,low,-0.14486590835412808,target_attainment,high,1.0,0.4474266237855956,44.74266237855956
peer_target,Appreciation,Aversion,team_vs_peer_average,high,0.15064741625824876,target_attainment,low,0.0,3.384897247488002e-07,3.384897247488002e-05
