manager_id,age_group,locality_group,age_x_locality,age_group_source,locality_group_source,n_periods,ai_authority_share_mean,escalation_share_mean,composite_kpi_score_mean,target_attainment_rate,share_aversion,share_neutral,share_appreciation,posterior_aversion_mean,posterior_neutral_mean,posterior_appreciation_mean,dominant_state,n_transitions,persistence_rate,upward_transition_rate,downward_transition_rate,n_second_order_windows,second_order_repeat_rate,second_order_reversal_rate
M0001,Mid-career proxy,Local,Mid-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.37187679065015583,0.4870214121153609,0.4819145644917935,0.11538461538461539,0.5384615384615384,0.46153846153846156,0.0,0.5227356935300134,0.4770017893991035,0.00026251707088299677,Aversion,25,0.72,0.12,0.16,24,0.5833333333333334,0.08333333333333333
M0002,Early-career proxy,Local,Early-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.3492911437807139,0.6253401331785138,0.47386058077253507,0.038461538461538464,0.2692307692307692,0.23076923076923078,0.5,0.2437481234972378,0.2670899251252817,0.4891619513774805,Appreciation,25,0.72,0.16,0.12,24,0.6666666666666666,0.08333333333333333
M0003,Senior-career proxy,Non-local,Senior-career proxy | Non-local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.2183991577927513,0.5817106825338713,0.4027134526836085,0.0,0.6923076923076923,0.3076923076923077,0.0,0.6800643251772036,0.3199278752553202,7.799567476064665e-06,Aversion,25,0.56,0.2,0.24,24,0.6666666666666666,0.2916666666666667
M0004,Senior-career proxy,Non-local,Senior-career proxy | Non-local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.35111645112777035,0.563405566168286,0.4609935467471894,0.11538461538461539,0.6538461538461539,0.34615384615384615,0.0,0.644941787477099,0.35505764493810305,5.675847980421673e-07,Aversion,25,0.88,0.04,0.08,24,0.8333333333333334,0.041666666666666664
M0005,Senior-career proxy,Non-local,Senior-career proxy | Non-local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.20849733748341107,0.5803857429531353,0.4258181505663513,0.038461538461538464,0.19230769230769232,0.5,0.3076923076923077,0.1770529778902413,0.5078075977627554,0.3151394243470037,Neutral,25,0.64,0.16,0.2,24,0.6666666666666666,0.16666666666666666
M0006,Senior-career proxy,Local,Senior-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.37800924104425315,0.5083332356308372,0.4766746652319544,0.07692307692307693,0.19230769230769232,0.4230769230769231,0.38461538461538464,0.19381120221975362,0.4249872063475688,0.3812015914326775,Neutral,25,0.88,0.08,0.04,24,0.75,0.0
M0007,Early-career proxy,Non-local,Early-career proxy | Non-local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.48886582052076943,0.4992122939422676,0.5470782459939433,0.23076923076923078,0.15384615384615385,0.6923076923076923,0.15384615384615385,0.14786140548467167,0.7088847594643385,0.1432538350509901,Neutral,25,0.72,0.16,0.12,24,0.5416666666666666,0.041666666666666664
M0008,Senior-career proxy,Non-local,Senior-career proxy | Non-local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.3664202714947545,0.5053239744509956,0.5105924333697552,0.11538461538461539,0.07692307692307693,0.6538461538461539,0.2692307692307692,0.07815590811452504,0.6153852980544884,0.30645879383098656,Neutral,25,0.68,0.16,0.16,24,0.7083333333333334,0.16666666666666666
M0009,Senior-career proxy,Local,Senior-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.2637383567252749,0.609704525055625,0.4612647419452465,0.0,0.15384615384615385,0.6153846153846154,0.23076923076923078,0.14217340932783892,0.6325033331033617,0.22532325756879912,Neutral,25,0.6,0.2,0.2,24,0.4583333333333333,0.125
M0010,Mid-career proxy,Local,Mid-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.17907560008798212,0.5613451850128144,0.39900605007382156,0.0,0.46153846153846156,0.5384615384615384,0.0,0.4607755317580772,0.5391186370481886,0.00010583119373407574,Neutral,25,0.56,0.2,0.24,24,0.6666666666666666,0.25
M0011,Mid-career proxy,Local,Mid-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.3816818361553495,0.534206916473907,0.4969358026517652,0.07692307692307693,0.2692307692307692,0.6923076923076923,0.038461538461538464,0.264291358525417,0.650080351221196,0.08562829025338682,Neutral,25,0.76,0.12,0.12,24,0.7083333333333334,0.08333333333333333
M0012,Mid-career proxy,Local,Mid-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.1833279646893972,0.6100472363504259,0.42528098024181465,0.0,0.46153846153846156,0.5384615384615384,0.0,0.44424165212120115,0.5555356132304701,0.00022273464832859257,Neutral,25,0.76,0.12,0.12,24,0.5416666666666666,0.0
M0013,Senior-career proxy,Local,Senior-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.43314780230139527,0.5194717538164467,0.5232604728891243,0.15384615384615385,0.15384615384615385,0.5769230769230769,0.2692307692307692,0.16880399102471122,0.5369337417138553,0.29426226726143356,Neutral,25,0.64,0.2,0.16,24,0.5,0.125
M0014,Mid-career proxy,Local,Mid-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.16917083668856636,0.5813428897918557,0.43191594014418233,0.0,0.5384615384615384,0.46153846153846156,0.0,0.5346458767959563,0.43102980764948334,0.03432431555456035,Aversion,25,0.68,0.16,0.16,24,0.6666666666666666,0.16666666666666666
M0015,Mid-career proxy,Non-local,Mid-career proxy | Non-local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.3344837152904353,0.5382134222028055,0.47652501206094844,0.038461538461538464,0.46153846153846156,0.5384615384615384,0.0,0.43473557527546736,0.5616620137022834,0.003602411022249217,Neutral,25,0.88,0.04,0.08,24,0.8333333333333334,0.041666666666666664
M0016,Mid-career proxy,Local,Mid-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.4271692735884802,0.5116100794284167,0.5437922366886901,0.11538461538461539,0.5769230769230769,0.15384615384615385,0.2692307692307692,0.547155164223603,0.18676811927391007,0.2660767165024869,Aversion,25,0.72,0.16,0.12,24,0.8333333333333334,0.16666666666666666
M0017,Mid-career proxy,Local,Mid-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.28979606037334443,0.5957012374422426,0.4739571180067196,0.038461538461538464,0.3076923076923077,0.5769230769230769,0.11538461538461539,0.3002881750191663,0.5754975091136185,0.12421431586721515,Neutral,25,0.8,0.12,0.08,24,0.6666666666666666,0.041666666666666664
M0018,Mid-career proxy,Local,Mid-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.23679658837656556,0.5561494986014291,0.43007151863557286,0.11538461538461539,0.46153846153846156,0.5384615384615384,0.0,0.45939488516516563,0.5404922929326998,0.00011282190213468321,Neutral,25,0.8,0.08,0.12,24,0.7083333333333334,0.041666666666666664
M0019,Senior-career proxy,Non-local,Senior-career proxy | Non-local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.22654088916990517,0.614352808614474,0.43059052976320983,0.0,0.6538461538461539,0.3076923076923077,0.038461538461538464,0.6392199289039302,0.3103081465080001,0.05047192458806966,Aversion,25,0.8,0.08,0.12,24,0.6666666666666666,0.041666666666666664
M0020,Senior-career proxy,Local,Senior-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.5836333193298735,0.49847059024655416,0.5740890591801936,0.07692307692307693,0.7307692307692307,0.2692307692307692,0.0,0.7298736445532873,0.2700442524458134,8.210300089894257e-05,Aversion,25,0.64,0.16,0.2,24,0.5,0.125
M0021,Mid-career proxy,Local,Mid-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.5581141496221784,0.37992953526615975,0.5749137961953292,0.2692307692307692,0.07692307692307693,0.5769230769230769,0.34615384615384615,0.0730268332224837,0.5759815510972303,0.35099161568028603,Neutral,25,0.8,0.08,0.12,24,0.75,0.041666666666666664
M0022,Mid-career proxy,Non-local,Mid-career proxy | Non-local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.13002477604123922,0.5774806795157121,0.38866499296479495,0.0,0.0,0.4230769230769231,0.5769230769230769,0.0020847833182697927,0.4284799966627237,0.5694352200190063,Appreciation,25,0.96,0.04,0.0,24,0.9166666666666666,0.0
M0023,Mid-career proxy,Local,Mid-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.2316346094725094,0.5808849643646787,0.4557042530217883,0.0,0.07692307692307693,0.6153846153846154,0.3076923076923077,0.05581586818575097,0.6332701615518718,0.3109139702623773,Neutral,25,0.8,0.12,0.08,24,0.7916666666666666,0.125
M0024,Senior-career proxy,Local,Senior-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.25421495767883395,0.5582142290554316,0.45824504588512444,0.0,0.4230769230769231,0.5384615384615384,0.038461538461538464,0.36101944172458944,0.6182243322833147,0.020756225992095853,Neutral,25,0.52,0.24,0.24,24,0.4166666666666667,0.20833333333333334
M0025,Senior-career proxy,Local,Senior-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.4022264205203737,0.43390315866528817,0.47969563570240836,0.15384615384615385,0.15384615384615385,0.46153846153846156,0.38461538461538464,0.1321879292901934,0.4928830067497359,0.3749290639600711,Neutral,25,0.72,0.16,0.12,24,0.5,0.0
M0026,Early-career proxy,Local,Early-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.16197735912941613,0.5084483842000135,0.406128357678261,0.038461538461538464,0.34615384615384615,0.5769230769230769,0.07692307692307693,0.33174060979250625,0.5951376200124279,0.07312177019506579,Neutral,25,0.52,0.24,0.24,24,0.5,0.20833333333333334
M0027,Senior-career proxy,Non-local,Senior-career proxy | Non-local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.39178169252111783,0.5542318343951567,0.4971002912685745,0.038461538461538464,0.38461538461538464,0.46153846153846156,0.15384615384615385,0.40204097582840576,0.44316320874009196,0.15479581543150234,Neutral,25,0.56,0.24,0.2,24,0.5833333333333334,0.25
M0028,Mid-career proxy,Local,Mid-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.34651901912717736,0.5056279721125073,0.4844256625263323,0.038461538461538464,0.34615384615384615,0.6538461538461539,0.0,0.34197059997002327,0.6564219980948575,0.0016074019351196335,Neutral,25,0.64,0.16,0.2,24,0.75,0.25
M0029,Mid-career proxy,Local,Mid-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.3025803952009113,0.605855718375911,0.5023412994011633,0.038461538461538464,0.11538461538461539,0.7307692307692307,0.15384615384615385,0.12845474253839934,0.7192406612443929,0.15230459621720796,Neutral,25,0.72,0.16,0.12,24,0.7083333333333334,0.125
M0030,Early-career proxy,Local,Early-career proxy | Local,seniority_years proxy because no manager age column exists in the workbook,region proxy because no manager local/non-local column exists,26,0.2602005058469152,0.597415284939427,0.43381331742901375,0.0,0.19230769230769232,0.6153846153846154,0.19230769230769232,0.20254623091926888,0.6086221146375103,0.18883165444322078,Neutral,25,0.84,0.08,0.08,24,0.7916666666666666,0.08333333333333333
