joint_effect,from_state,to_state,x_variable,y_variable,x_value,y_value,transition_probability
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.3457964980698282,0.0,0.9990254761546777
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.33334364575916337,0.0,0.9984716765994325
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.3208907934484985,0.0,0.9976035241523704
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.3084379411378337,0.0,0.9962432820318904
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.2959850888271688,0.0,0.9941139169866551
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.28353223651650394,0.0,0.9907855435311029
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.2710793842058391,0.0,0.98559593958684
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.25862653189517426,0.0,0.9775370511173725
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.24617367958450942,0.0,0.9651038639493551
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.23372082727384458,0.0,0.9461195504540759
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.22126797496317974,0.0,0.9175966107533408
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.20881512265251487,0.0,0.8757862807321081
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.19636227034185003,0.0,0.8166998832721746
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.18390941803118518,0.0,0.7374387316292957
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.17145656572052032,0.0,0.6383325021609116
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.15900371340985547,0.0,0.5248977713290857
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.14655086109919063,0.0,0.407666646224016
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.1340980087885258,0.0,0.29883539989159447
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.12164515647786095,0.0,0.20762754326694946
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.10919230416719608,0.0,0.13772174384668473
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.09673945185653124,0.0,0.08790105321639288
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.08428659954586637,0.0,0.05435087687419966
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.07183374723520153,0.0,0.0327221661579458
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.05938089492453669,0.0,0.019248745565053692
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.046928042613871845,0.0,0.011088723109834917
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.034475190303207004,0.0,0.0062658375624007456
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.022022337992542163,0.0,0.0034775587315839644
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,-0.009569485681877321,0.0,0.0018981872451591286
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.002883366628787576,0.0,0.0010204476148555537
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.015336218939452417,0.0,0.0005411310931956695
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.02778907125011726,0.0,0.0002835196465117022
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.0402419235607821,0.0,0.00014700960080443013
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.05269477587144694,0.0,7.555714477445139e-05
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.06514762818211178,0.0,3.854833533561357e-05
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.07760048049277662,0.0,1.9547932734579383e-05
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.09005333280344147,0.0,9.863958313665e-06
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.10250618511410631,0.0,4.957609441370292e-06
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.1149590374247712,0.0,2.4837615639445157e-06
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.12741188973543605,0.0,1.2412166586493733e-06
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.1398647420461009,0.0,6.190350405288058e-07
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.15231759435676573,0.0,3.082459431722439e-07
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.16477044666743063,0.0,1.5329963343922827e-07
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.17722329897809547,0.0,7.616633609236604e-08
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.1896761512887603,0.0,3.781422487792472e-08
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.20212900359942515,0.0,1.876246309446107e-08
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.21458185591009,0.0,9.305157170118314e-09
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.22703470822075483,0.0,4.613187973237182e-09
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.23948756053141967,0.0,2.286424235575959e-09
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.2519404128420845,0.0,1.1329682317458272e-09
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.26439326515274936,0.0,5.613128256225092e-10
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.2768461174634142,0.0,2.78057692231059e-10
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.28929896977407904,0.0,1.37727396781042e-10
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.3017518220847439,0.0,6.821363077157947e-11
appreciation_peer_target,Appreciation,Aversion,team_vs_peer_average,target_attainment,0.3142046743954087,0.0,3.3782758847612976e-11
